Month,Year,Categories,Amount,Page number,Type of Category
February,1858,Malicious mischief,2,105,Offences
February,1858,Manslaughter,1,105,Offences
February,1858,Noisy and disorderly persons,149,105,Offences
February,1858,Common Night Walkers,14,105,Offences
February,1858,Perjury,1,105,Offences
February,1858,Counterfeit money passing,1,105,Offences
February,1858,Counterfeit money passing,1,105,Offences
February,1858,Possessing sling shot,2,105,Offences
February,1858,Robbery,2,105,Offences
February,1858,Sunday Law Violations,13,105,Offences
February,1858,Stubborn & Truant Children,1,105,Offences
February,1858,Vagabonds,1,105,Offences
February,1858,Witnesses detained,7,105,Offences
February,1858,On warrants,10,105,Offences
February,1858,No. of larcenies on station,33,105,Offences
February,1858,No. of arrests for larcenies on station,27,105,Offences
February,1858,Amt property stolen on station (in $),235.57,105,Station and Court-related
February,1858,Stolen Property Recovered (in $),161.9,105,Station and Court-related
February,1858,Amt property restored to prisoners (in $),1108.69,105,Station and Court-related
February,1858,Amt fines imposed on Prisoners (in $),586,105,Station and Court-related
February,1858,Years imprisonment imposed on convicts,"54,1/6",105,Station and Court-related
February,1858,Amt Witness fees has earned in court (in $),263.26,105,Station and Court-related
February,1858,Days time spent in court,166,105,Station and Court-related
February,1858,Cases investigated for overseers of poor,89,105,Public Service
February,1858,Cases reported for grand jury,17,105,Station and Court-related
February,1858,Number of fires on the station,2,105,Public Service
February,1858,Fires extinguished by officers without alarms,1,105,Public Service
February,1858,Fires alarms given by officers,1,105,Public Service
February,1858,Disturbances Suppressed,143,105,Public Service
February,1858,Stores found open and secured ,39,105,Public Service
February,1858,Water Pipes burst secured,7,105,Public Service
February,1858,Sidewalks repaired,5,105,Public Service
February,1858,Lost children returned,3,105,Public Service
February,1858,Injured persons provided for,5,105,Public Service
February,1858,Stray Teams Put up,2,105,Public Service
February,1858,Police court cases investigated ,13,105,Public Service
March,1858,Custody,726,106,Demographics
March,1858,Arrests (Males),347,106,Demographics
March,1858,Arrests (Females),135,106,Demographics
March,1858,Arrests (Americans),71,106,Demographics
March,1858,Arrests (Foreigners),411,106,Demographics
March,1858,Arrests (Residents),384,106,Demographics
March,1858,Arrests (Non-residents),98,106,Demographics
March,1858,Arrests (Minor),77,106,Demographics
March,1858,Arrests (Commitments),316,106,Demographics
March,1858,Lodging (Males),194,106,Demographics
March,1858,Lodging (Females),50,106,Demographics
March,1858,Lodging (Americans),39,106,Demographics
March,1858,Lodging (Foreigners),205,106,Demographics
March,1858,Lodging (Residents),83,106,Demographics
March,1858,Lodging (Non-residents),161,106,Demographics
March,1858,Lodging (Minor),58,106,Demographics
March,1858,Assaults and Battery,32,106,Offences
March,1858,Assault with deadly weapons,1,106,Offences
March,1858,Attempt to rescue prisoners,1,106,Offences
March,1858,Attempt to rape,1,106,Offences
March,1858,Common Drunkenness (drunkards),17,106,Offences
March,1858,Disturbing the Peace,1,106,Offences
March,1858,Escaped Convicts,1,106,Offences
March,1858,Fornication,2,106,Offences
March,1858,Gaming on Sunday,3,106,Offences
March,1858,Incendiaryism (incendiary),1,106,Offences
March,1858,Idle & disorderly persons,2,106,Offences
March,1858,Insane,2,106,Offences
March,1858,Keeping Houses of Ill Fame,10,106,Offences
March,1858,Keeping Noisy & Disorderly Houses,4,106,Offences
March,1858,Keeping a Nuisance,3,106,Offences
March,1858,Larceny (simple),23,106,Offences
March,1858,Larceny from persons etc,18,106,Offences
March,1858,Malicious mischief,4,106,Offences
March,1858,Noisy and disorderly persons,148,106,Offences
March,1858,Common Night Walkers,34,106,Offences
March,1858,Counterfeit money passing,5,106,Offences
March,1858,Robbery,2,106,Offences
March,1858,Sunday Law Violations,7,106,Offences
March,1858,Stubborn & Truant Children,1,106,Offences
March,1858,Vagabonds,3,106,Offences
March,1858,Witnesses detained,8,106,Offences
March,1858,Drunkenness (Simple),148,106,Offences
March,1858,On warrants,20,106,Offences
March,1858,Defective Street Lamps Repaired/Reported,3,106,Public Service
March,1858,Stores found open and secured ,38,106,Public Service
March,1858,Sidewalks repaired,17,106,Public Service
March,1858,Stray Teams Put up,6,106,Public Service
March,1858,Lost children returned,4,106,Public Service
March,1858,Injured persons provided for,4,106,Public Service
March,1858,"Drains,vaults,nuisances reported",2,106,Public Service
March,1858,Keepers of Dogs Reported,128,106,Public Service
March,1858,Number of fires on the station,3,106,Public Service
March,1858,Fires extinguished by officers without alarms,2,106,Public Service
March,1858,Fires alarms given by officers,1,106,Public Service
March,1858,No. of larcenies on station,28,106,Offences
March,1858,No. of arrests for larcenies on station,20,106,Offences
March,1858,Amt property stolen on station (in $),472,106,Station and Court-related
March,1858,Stolen Property Recovered (in $),352,106,Station and Court-related
March,1858,Amt property restored to prisoners (in $),721.35,106,Station and Court-related
March,1858,Amt fines imposed on Prisoners (in $),854,106,Station and Court-related
March,1858,Years imprisonment imposed on convicts,42.5,106,Station and Court-related
March,1858,Amt Witness fees has earned in court (in $),279.75,106,Station and Court-related
March,1858,Days time spent in court,174,106,Station and Court-related
March,1858,Disturbances Suppressed,138,106,Public Service
March,1858,Police court cases investigated ,27,106,Public Service
April,1858,Custody,746,107,Demographics
April,1858,Arrests (Males),338,107,Demographics
April,1858,Arrests (Females),155,107,Demographics
April,1858,Arrests (Americans),65,107,Demographics
April,1858,Arrests (Foreigners),428,107,Demographics
April,1858,Arrests (Residents),380,107,Demographics
April,1858,Arrests (Non-residents),113,107,Demographics
April,1858,Arrests (Minor),79,107,Demographics
April,1858,Arrests (Commitments),288,107,Demographics
April,1858,Lodging (Males),223,107,Demographics
April,1858,Lodging (Females),30,107,Demographics
April,1858,Lodging (Americans),74,107,Demographics
April,1858,Lodging (Foreigners),179,107,Demographics
April,1858,Lodging (Residents),47,107,Demographics
April,1858,Lodging (Non-residents),206,107,Demographics
April,1858,Lodging (Minor),42,107,Demographics
April,1858,Assaults and Battery,28,107,Offences
April,1858,Assault with deadly weapons,2,107,Offences
April,1858,Burglary,4,107,Offences
April,1858,Possessing burglar tools,1,107,Offences
April,1858,Bigamy,1,107,Offences
April,1858,City Ordinance Violations,2,107,Offences
April,1858,Common Drunkenness (drunkards),27,107,Offences
April,1858,Drunkenness (Simple),144,107,Offences
April,1858,Fornication,2,107,Offences
April,1858,Forgery ,1,107,Offences
April,1858,Insane,1,107,Offences
April,1858,Idle & disorderly persons,10,107,Offences
April,1858,Keeping a Nuisance,2,107,Offences
April,1858,Keeping Houses of Ill Fame,4,107,Offences
April,1858,Keeping Noisy & Disorderly Houses,2,107,Offences
April,1858,Larceny (simple),23,107,Offences
April,1858,Larceny from persons etc,10,107,Offences
April,1858,Malicious mischief,4,107,Offences
April,1858,Common Night Walkers,21,107,Offences
April,1858,Noisy and disorderly persons,172,107,Offences
April,1858,Counterfeit money passing,2,107,Offences
April,1858,Pickpockets,1,107,Offences
April,1858,Robbery,1,107,Offences
April,1858,Sunday Law Violations,5,107,Offences
April,1858,Stubborn & Truant Children,3,107,Offences
April,1858,Vagabonds,11,107,Offences
April,1858,Witnesses detained,9,107,Offences
April,1858,On warrants,17,107,Offences
April,1858,No. of larcenies on station,27,107,Offences
April,1858,No. of arrests for larcenies on station,14,107,Offences
April,1858,Amt property stolen on station (in $),347.9,107,Station and Court-related
April,1858,Stolen Property Recovered (in $),944.93,107,Station and Court-related
April,1858,Amt property restored to prisoners (in $),1418.2,107,Station and Court-related
April,1858,Days time spent in court,193,107,Station and Court-related
April,1858,Amt Witness fees has earned in court (in $),295.37,107,Station and Court-related
April,1858,Amt fines imposed on Prisoners (in $),918,107,Station and Court-related
April,1858,Years imprisonment imposed on convicts,61.08,107,Station and Court-related
April,1858,Disturbances Suppressed,176,107,Public Service
April,1858,Stores found open and secured ,50,107,Public Service
April,1858,Water Pipes burst secured,31,107,Public Service
April,1858,Lost children returned,12,107,Public Service
April,1858,"Drains,vaults,nuisances reported",7,107,Public Service
April,1858,Injured persons provided for,6,107,Public Service
April,1858,Number of fires on the station,5,107,Public Service
April,1858,Fires extinguished by officers without alarms,2,107,Public Service
April,1858,Fires alarms given by officers,2,107,Public Service
April,1858,Sidewalks repaired,21,107,Public Service
April,1858,Police court cases investigated ,21,107,Public Service
May ,1858,Custody,791,108,Demographics
May ,1858,Arrests (Males),439,108,Demographics
May ,1858,Arrests (Females),159,108,Demographics
May ,1858,Arrests (Americans),93,108,Demographics
May ,1858,Arrests (Foreigners),505,108,Demographics
May ,1858,Arrests (Residents),490,108,Demographics
May ,1858,Arrests (Non-residents),108,108,Demographics
May ,1858,Arrests (Minor),103,108,Demographics
May ,1858,Arrests (Commitments),382,108,Demographics
May ,1858,Lodging (Males),161,108,Demographics
May ,1858,Lodging (Females),32,108,Demographics
May ,1858,Lodging (Americans),33,108,Demographics
May ,1858,Lodging (Foreigners),160,108,Demographics
May ,1858,Lodging (Residents),48,108,Demographics
May ,1858,Lodging (Non-residents),145,108,Demographics
May ,1858,Lodging (Minor),47,108,Demographics
May ,1858,Assaults and Battery,27,108,Offences
May ,1858,Assaults on Officers,1,108,Offences
May ,1858,Breaking and Entering,2,108,Offences
May ,1858,Possessing burglar tools,1,108,Offences
May ,1858,Common Drunkenness (drunkards),47,108,Offences
May ,1858,City Ordinance Violations,3,108,Offences
May ,1858,Counterfeit money passing,3,108,Offences
May ,1858,Drunkenness (Simple),154,108,Offences
May ,1858,Disturbing the Peace,1,108,Offences
May ,1858,Dance Hall Exhibitions,6,108,Offences
May ,1858,Keeping Houses of Ill Fame,3,108,Offences
May ,1858,Keeping a Nuisance,6,108,Offences
May ,1858,Insane,3,108,Offences
May ,1858,Idle & disorderly persons,13,108,Offences
May ,1858,Larceny (simple),35,108,Offences
May ,1858,Larceny from persons etc,11,108,Offences
May ,1858,Malicious mischief,3,108,Offences
May ,1858,Noisy and disorderly persons,199,108,Offences
May ,1858,Common Night Walkers,23,108,Offences
May ,1858,Robbery,5,108,Offences
May ,1858,Saturday evening law,37,108,Offences
May ,1858,Threatening violence,1,108,Offences
May ,1858,Vagabonds,10,108,Offences
May ,1858,Witnesses detained,4,108,Offences
May ,1858,On warrants,57,108,Offences
May ,1858,Street Obstructions Removed,5,108,Public Service
May ,1858,Sidewalks repaired,23,108,Public Service
May ,1858,Stores found open and secured ,27,108,Public Service
May ,1858,Disturbances Suppressed,180,108,Public Service
May ,1858,Injured persons provided for,6,108,Public Service
May ,1858,Stray Teams Put up,8,108,Public Service
May ,1858,Lost children returned,7,108,Public Service
May ,1858,"Drains,vaults,nuisances reported",6,108,Public Service
May ,1858,Water Pipes burst secured,2,108,Public Service
May ,1858,Number of fires on the station,4,108,Public Service
May ,1858,Fires extinguished by officers without alarms,3,108,Public Service
May ,1858,No. of larcenies on station,36,108,Offences
May ,1858,No. of arrests for larcenies on station,28,108,Offences
May ,1858,Amt property stolen on station (in $),445.17,108,Station and Court-related
May ,1858,Stolen Property Recovered (in $),483.92,108,Station and Court-related
May ,1858,Amt property restored to prisoners (in $),195.27,108,Station and Court-related
